Year	Sex	Height	Name
1991	f	1.73	Sierra Harper Rowan
1988	f	1.69	Jordan
1974	d	1.66	Parker Theo Luca
1958	f	1.64	Kelsey
1996	m	1.73	Spencer Sawyer Hunter
1971	f	1.58	Casey Sydney Skylar
1990	m	1.77	Ryan Parker Logan
1996	m	1.99	Noah
1971	f	1.71	Casey
1978	f	1.50	Rowan Kelsey Madison
1974	m	1.84	Spencer Ellis Reid
1971	d	1.77	Riley Sydney Harper
1955	f	1.61	Peyton
1958	m	1.79	Luca
1963	m	1.69	Logan Noah Finn
1954	m	1.77	Spencer Shane Luca
1959	f	1.52	Dakota Riley
1964	m	1.89	Luca
1995	f	1.64	Riley Skylar
1997	f	1.70	Madison Harper
1954	d	1.73	Parker Logan Elliot
1989	d	1.71	Morgan Bailey
1967	f	1.68	Quinn
1992	f	1.64	Taylor Sierra
1989	m	1.84	Theo Parker
1970	f	1.78	Bailey Madison Alexis
1950	m	1.80	Elliot Colby Ashton
1990	m	1.64	Parker Micah
1955	m	1.67	Sawyer
1951	m	1.69	Finn Ryan Colby
1990	f	1.53	Quinn Alexis
1976	m	1.71	Shane Kai Spencer
1978	f	1.66	Sydney
1994	f	1.68	Hayden Casey
1966	f	1.73	Hayden Madison Harper
1972	m	1.84	Luca
1952	m	1.81	Jesse Reid
1998	d	1.68	Theo Micah
1998	f	1.66	Hayden Jordan
1980	d	1.72	Kelsey
1995	f	1.72	Skylar
1976	m	1.63	Logan
1955	m	1.80	Luca Kai
1950	m	1.88	Finn
1988	f	1.70	Harper Rowan Dakota
1983	m	1.70	Lane Ashton Elliot
1990	m	1.82	Colby Logan Reid
1961	f	1.53	Jordan Skylar
1965	m	1.78	Theo Reid Logan
1976	m	1.74	Hunter Reid
1971	m	1.81	Parker
1997	f	1.67	Casey Sierra
1969	m	1.85	Logan Spencer
1967	f	1.64	Peyton
1966	m	1.68	Parker
1993	m	1.91	Ashton Ellis
1969	d	1.73	Reid Logan
1972	m	1.71	Reid
1987	f	1.58	Sierra Sydney
1964	f	1.75	Quinn
1993	f	1.77	Peyton
1956	m	1.73	Ryan
1960	f	1.75	Riley Alexis Hayden
1977	m	1.79	Ryan
1951	m	1.74	Theo Sawyer
1975	m	1.78	Luca
1951	m	1.89	Theo Ryan
1971	m	1.74	Kai
1996	f	1.70	Skylar Quinn Harper
1961	f	1.63	Quinn Taylor Rowan
1972	f	1.60	Casey
1956	m	1.66	Ryan Colby
1987	d	1.71	Skylar
1961	f	1.53	Riley
1957	f	1.71	Madison
1991	f	1.62	Quinn
1963	m	1.72	Jesse Hunter Ellis
1955	m	1.90	Kai
1971	f	1.71	Reagan Riley
1960	m	1.85	Colby
1965	m	1.75	Kai Ellis Luca
1962	m	1.81	Logan Ashton
1982	f	1.49	Morgan Sierra
1978	f	1.68	Alexis Taylor
1971	f	1.68	Alexis Hayden Taylor
1982	f	1.54	Casey Kelsey
1981	d	1.83	Logan Ellis Ryan
1978	m	1.86	Theo Shane
1990	m	1.73	Reid
1990	m	1.86	Luca
1990	f	1.53	Dakota
1984	f	1.57	Bailey
1962	m	1.86	Kai Ellis Shane
1972	f	1.60	Skylar Morgan
1961	f	1.51	Taylor Bailey
1951	f	1.51	Kelsey Bailey Quinn
1983	f	1.63	Taylor Dakota Kelsey
1963	m	1.82	Luca Finn Hunter
1995	f	1.65	Kelsey Rowan Sydney
1966	f	1.66	Peyton Jordan Sydney
1992	f	1.46	Aubrey Alexis Madison
1976	f	1.61	Reagan Taylor Rowan
1967	f	1.70	Morgan Hayden
1968	m	1.62	Theo Finn
1962	f	1.64	Harper
1973	m	1.76	Reid Lane
1954	m	1.72	Hunter Ellis
1967	f	1.73	Harper Morgan Jordan
1952	m	1.75	Spencer Kai Jesse
1954	f	1.66	Morgan Quinn
1951	m	1.77	Luca Elliot Sawyer
1967	d	1.48	Spencer Sawyer Shane
1987	m	1.86	Reid
1986	m	1.68	Spencer Micah Jesse
1985	m	1.83	Ellis Parker Jesse
1951	f	1.60	Morgan
1978	m	1.96	Jesse Lane Finn
1998	f	1.67	Riley Dakota
1996	f	1.67	Morgan Riley
1968	f	1.59	Sierra
1981	f	1.73	Sydney Harper Riley
1987	m	1.64	Lane
1989	m	1.91	Ashton Parker Theo
1955	m	1.71	Lane Shane
1955	d	1.71	Logan Parker Shane
1991	m	1.81	Elliot Shane Hunter
1966	f	1.66	Peyton
1959	f	1.56	Casey Sydney Kelsey
1965	m	1.72	Sawyer Kai
1975	f	1.69	Reagan Morgan Dakota
1954	f	1.54	Jordan
1960	m	1.69	Noah Sawyer Luca
1980	m	1.84	Colby Kai Lane
1955	m	1.79	Hunter Luca Theo
1999	f	1.71	Bailey Morgan
1982	m	1.81	Ryan Hunter
1958	m	1.92	Kai
1984	m	1.77	Elliot Sawyer Spencer
1966	m	1.79	Parker
1978	m	1.75	Noah Parker Sawyer
1979	f	1.76	Sierra Madison Riley
1993	f	1.60	Taylor Harper
1994	f	1.73	Skylar Dakota
1971	f	1.54	Hayden
1983	d	1.66	Harper Bailey
1969	m	1.81	Hunter
1968	f	1.61	Hayden Sierra Jordan
1959	m	1.82	Spencer Luca Hunter
1972	f	1.50	Aubrey Sierra
1992	f	1.77	Hayden Morgan Sierra
1957	f	1.59	Peyton Harper
1966	f	1.70	Sydney Bailey Sierra
1968	d	1.66	Rowan
1988	m	1.91	Kai
1959	m	1.81	Colby Parker
1952	f	1.77	Harper Kelsey Sierra
1962	m	1.77	Reid Lane Parker
1963	f	1.59	Sierra Reagan
1981	m	1.84	Ashton Elliot Logan
1952	m	1.83	Parker Lane Micah
1983	m	1.74	Ellis Finn
1980	f	1.71	Skylar
1979	m	1.80	Kai Jesse Ryan
1962	m	1.83	Logan
1958	m	1.77	Ellis Jesse
1987	m	1.92	Jesse Hunter Finn
1975	f	1.73	Madison
1969	m	1.77	Micah Jesse Elliot
1994	m	1.75	Hunter Reid
1965	m	1.79	Finn Theo Kai
1975	m	1.71	Colby Ellis Lane
1964	d	1.59	Hunter Noah
1957	f	1.62	Sydney
1990	f	1.75	Dakota Morgan Taylor
1968	d	1.72	Spencer
1995	m	1.69	Hunter
1994	f	1.53	Riley Sydney Skylar
1963	f	1.64	Madison Peyton Casey
1986	d	1.74	Rowan
1968	f	1.61	Bailey Rowan
1956	m	1.81	Reid
1987	f	1.69	Alexis Dakota
1963	d	1.92	Logan Shane
1979	f	1.66	Casey Quinn
1993	f	1.59	Sierra
1961	f	1.49	Morgan Taylor Aubrey
1987	m	1.74	Micah
1958	f	1.60	Riley
1990	d	1.71	Aubrey
1998	m	1.86	Micah Hunter Lane
1970	m	1.76	Theo Luca
1992	f	1.55	Quinn
1992	m	1.67	Shane Spencer Hunter
1992	f	1.51	Morgan Hayden Harper
1977	f	1.61	Alexis
1979	d	1.75	Jesse Ryan Spencer
1980	m	1.79	Luca Reid
